Shaft_ID,X-Sect_Area,Center_Cutout_Dia,Drain_Hole_Dia,Drain_Hole_Qty,Drain_Hole_Dist,Cutout_Area,Percent_X-Sect_Area,Cutout_Type,Part_Number
2,3.31,1.25,,,,1.23,37.03%,A,A01Q00000
3,7.46,2.25,,,,3.98,53.33%,A,A02Q00000
4,13.25,,1,2,2.25,1.57,11.85%,B,B0001002Q
5,20.71,,1.25,2,3,2.45,11.85%,B,B0001Q030
6,29.82,1.5,1,2,4,3.34,11.19%,C,C01H10040
7,40.59,2,1,2,5,4.71,11.61%,C,C02010050
8,53.02,3.5,1,2,6,11.19,21.11%,C,C03H10060
9,67.1,4,1,2,7,14.14,21.07%,C,C04010070
10,82.84,4.5,1,2,8,17.48,21.09%,C,C04H10080
11,100.24,5,1,2,9,21.21,21.16%,C,C05010090
12,119.29,5.5,1,2,10,25.33,21.23%,C,C05H10100
13,140,6,1,2,11,29.85,21.32%,C,C06010110
14,162.37,6.5,1,2,12,34.75,21.40%,C,C06H10120
15,186.4,7,1,2,13,40.06,21.49%,C,C07010130
16,212.08,7.5,1,2,14,45.75,21.57%,C,C07H10140
17,239.42,8,1,2,15,51.84,21.65%,C,C08010150
18,268.41,8.5,1,2,16,58.32,21.73%,C,C08H10160
19,299.06,9,1,2,17,65.19,21.80%,C,C09010170
20,331.37,9.5,1,2,18,72.45,21.86%,C,C09H10180
21,365.34,10,1.25,2,18.75,80.99,22.17%,C,C1001Q18T
22,400.96,10.5,1.25,2,19.75,89.04,22.21%,C,C10H1Q19T
23,438.24,11,1.25,2,20.75,97.49,22.25%,C,C1101Q2OT
24,477.17,11.5,1.25,2,21.75,106.32,22.28%,C,C11H1Q21T
25,517.77,12,1.25,2,22.75,115.55,22.32%,C,C1201Q22T
26,560.02,12.5,1.25,2,23.75,125.17,22.35%,C,C12H1Q23T
27,603.92,13,1.25,2,24.75,135.19,22.38%,C,C1301Q24T
28,649.49,13.5,1.25,2,25.75,145.59,22.42%,C,C13H1Q25T
29,696.71,14,1.25,2,26.75,156.39,22.45%,C,C1401Q26T
30,745.58,14,1.25,2,27.75,156.39,20.98%,C,C1401Q27T
31,796.12,14.5,1.5,2,28.5,168.66,21.19%,C,C14H1H28H
32,848.31,15,1.5,2,29.5,180.25,21.25%,C,C1501H29H
33,902.16,15.5,1.5,2,30.5,192.23,21.31%,C,C15H1H30H
34,957.66,16,1.5,2,31.5,204.6,21.36%,C,C1601H31H
35,1014.82,16.5,1.5,2,32.5,217.36,21.42%,C,C16H1H32H
36,1073.64,17,1.5,2,33.5,230.51,21.47%,C,C1701H33H
37,1134.12,17.5,1.5,2,34.5,244.06,21.52%,C,C17H1H34H
38,1196.25,18,1.5,2,35.5,258,21.57%,C,C1801H35H
39,1260.04,18.5,1.5,2,36.5,272.34,21.61%,C,C18H1H36H
40,1325.48,19,1.5,2,37.5,287.06,21.66%,C,C1901H37H
